cnpj,empresa,status_reclamacao,tempo_resposta_dias,avaliacao_consumidor,data_reclamacao
17.352.906/0001-78,Moura,Resolvida,28,5,2025-06-26
82.970.614/0001-60,Moreira,Resolvida,12,1,2025-11-18
42.819.063/0001-14,Guerra Macedo Ltda.,Resolvida,8,5,2024-12-30
69.135.478/0001-25,Cardoso Santos e Filhos,Resolvida,23,3,2024-02-25
75.216.983/0001-05,Pimenta Dias e Filhos,Resolvida,19,3,2025-09-15
31.870.649/0001-97,Gonçalves,Resolvida,5,4,2024-04-18
84.961.207/0001-12,Santos Pastor - ME,Resolvida,26,4,2024-11-29
23.698.740/0001-49,da Conceição,Resolvida,15,3,2025-09-17
07.638.425/0001-70,Santos,Resolvida,28,3,2024-02-20
91.560.842/0001-53,Porto,Resolvida,5,5,2025-01-20
90.278.341/0001-16,Nunes S.A.,Resolvida,8,2,2025-06-16
98.745.132/0001-47,Brito,Resolvida,16,4,2025-01-04
54.830.276/0001-26,Fernandes,Não Resolvida,8,1,2024-08-08
21.748.063/0001-09,Moreira Albuquerque e Filhos,Não Resolvida,15,2,2025-12-13
34.827.605/0001-72,Borges e Filhos,Resolvida,4,4,2024-05-07
86.541.390/0001-22,Pacheco,Não Resolvida,9,1,2025-05-06
46.250.387/0001-35,da Luz,Resolvida,18,2,2024-05-13
16.803.259/0001-00,Rezende - ME,Não Resolvida,12,3,2025-02-12
30.278.691/0001-50,Pimenta Sá - EI,Não Resolvida,22,5,2024-01-28
14.592.678/0001-15,da Cruz Gonçalves Ltda.,Resolvida,16,4,2025-02-17
81.650.342/0001-59,da Cruz - EI,Resolvida,10,1,2024-02-02
67.032.549/0001-39,Ramos S.A.,Não Resolvida,23,1,2025-10-25
19.054.287/0001-60,Carvalho Ltda.,Resolvida,27,4,2025-07-11
10.432.756/0001-63,Souza,Resolvida,18,4,2024-04-29
65.130.472/0001-04,Castro - EI,Resolvida,21,4,2024-05-03
34.869.125/0001-74,da Mata,Resolvida,14,1,2025-09-11
59.216.084/0001-48,Viana - EI,Resolvida,3,2,2024-02-21
06.958.274/0001-74,Jesus - ME,Não Resolvida,23,1,2024-08-19
24.983.107/0001-65,Pimenta Brito Ltda.,Resolvida,15,2,2024-11-29
78.045.396/0001-80,Gonçalves Novais S/A,Resolvida,21,4,2025-05-30
64.053.712/0001-51,Melo Andrade S.A.,Resolvida,22,3,2025-09-04
87.640.512/0001-09,Mendes,Resolvida,28,5,2025-07-28
87.950.236/0001-77,Almeida e Filhos,Resolvida,2,5,2025-05-18
21.479.083/0001-13,Porto,Resolvida,20,3,2025-02-21
12.078.693/0001-14,Rocha,Não Resolvida,15,3,2024-11-09
05.487.619/0001-96,Correia - ME,Resolvida,12,5,2025-08-28
50.968.413/0001-32,Porto,Resolvida,5,5,2024-09-29
56.387.924/0001-47,da Conceição,Resolvida,3,3,2025-09-11
29.458.763/0001-62,Carvalho Cunha e Filhos,Resolvida,7,4,2024-12-03
14.397.068/0001-60,Abreu,Resolvida,5,2,2024-02-12
69.140.572/0001-72,da Mata S.A.,Resolvida,8,1,2025-12-24
18.974.062/0001-60,Almeida Gomes - EI,Resolvida,3,1,2024-03-20
47.831.952/0001-10,Carvalho Rocha e Filhos,Resolvida,3,2,2024-04-28
41.602.879/0001-29,das Neves,Resolvida,25,2,2025-02-21
82.597.140/0001-53,Pimenta,Resolvida,14,3,2025-03-05
91.726.048/0001-37,Cunha - ME,Resolvida,9,5,2025-10-24
76.359.480/0001-43,Vargas Caldeira S/A,Resolvida,4,2,2025-04-14
51.490.876/0001-02,Jesus,Não Resolvida,22,4,2025-05-26
53.417.096/0001-54,Leão,Resolvida,14,1,2025-03-12
59.712.036/0001-40,Ribeiro e Filhos,Não Resolvida,25,4,2024-11-29
54.178.032/0001-00,Moura,Resolvida,19,3,2025-05-11
19.278.065/0001-21,Castro Moraes e Filhos,Não Resolvida,4,5,2025-07-06
20.431.956/0001-55,Almeida,Resolvida,10,3,2025-10-30
08.639.427/0001-46,Siqueira,Resolvida,6,5,2025-11-15
30.847.295/0001-05,Peixoto,Resolvida,7,5,2025-12-07
80.927.453/0001-05,Carvalho Gonçalves Ltda.,Resolvida,14,4,2025-11-04
32.970.845/0001-04,da Conceição,Resolvida,13,4,2025-12-26
06.582.741/0001-04,da Costa da Costa S.A.,Resolvida,7,4,2024-05-25
79.350.486/0001-48,Caldeira Novais - ME,Resolvida,3,5,2024-11-30
08.462.793/0001-72,Marques,Resolvida,23,4,2024-10-14
83.695.247/0001-05,Jesus Ltda.,Resolvida,24,2,2025-08-29
24.019.386/0001-41,das Neves e Filhos,Resolvida,19,4,2024-04-05
34.928.576/0001-35,Farias,Não Resolvida,17,3,2025-03-30
59.406.238/0001-64,Nascimento e Filhos,Resolvida,13,4,2024-01-27
25.396.187/0001-15,Pacheco S/A,Não Resolvida,6,5,2025-06-03
19.836.207/0001-29,Sampaio,Não Resolvida,19,5,2024-07-18
17.560.948/0001-02,Nogueira Silveira - EI,Resolvida,23,1,2025-04-22
95.173.082/0001-82,Almeida,Resolvida,18,4,2024-10-08
74.602.893/0001-81,Barros,Resolvida,28,3,2025-08-26
30.458.976/0001-73,Borges,Não Resolvida,25,4,2025-05-05
27.068.135/0001-45,Ramos e Filhos,Resolvida,1,1,2026-01-17
93.548.062/0001-13,Rios S.A.,Resolvida,20,3,2024-03-15
17.982.430/0001-59,Garcia S.A.,Resolvida,15,4,2025-04-16
08.561.792/0001-85,Aparecida,Resolvida,9,2,2024-02-22
92.850.637/0001-95,Vieira S/A,Resolvida,25,4,2025-09-11
12.095.874/0001-59,Campos,Resolvida,18,3,2024-08-03
10.586.723/0001-78,Abreu,Resolvida,17,5,2025-06-04
80.746.315/0001-11,da Mota S.A.,Resolvida,27,5,2024-12-11
42.609.758/0001-71,Pacheco Vargas Ltda.,Não Resolvida,19,2,2024-09-01
81.096.725/0001-27,Dias Gomes S.A.,Não Resolvida,26,3,2024-03-24
02.496.815/0001-39,Aragão,Resolvida,5,4,2025-09-24
85.104.236/0001-20,Sá Sousa e Filhos,Não Resolvida,10,5,2024-05-11
30.871.254/0001-46,Aragão - EI,Resolvida,26,4,2024-06-22
15.826.790/0001-36,Sampaio,Resolvida,7,2,2026-01-13
85.793.210/0001-37,Abreu,Não Resolvida,24,1,2024-12-05
23.910.865/0001-90,Dias,Resolvida,9,4,2025-05-25
82.351.064/0001-00,Porto,Resolvida,25,4,2025-12-13
32.894.156/0001-50,Pastor,Resolvida,4,5,2024-07-18
15.623.870/0001-94,Porto,Resolvida,12,2,2026-01-06
76.892.014/0001-29,Souza - ME,Resolvida,28,3,2025-07-16
04.953.672/0001-72,Lopes,Resolvida,14,2,2024-11-24
53.192.804/0001-04,da Paz Ltda.,Resolvida,22,2,2025-09-03
81.695.027/0001-48,Silveira Campos e Filhos,Não Resolvida,6,4,2024-12-21
53.401.762/0001-66,Câmara,Resolvida,4,3,2025-02-14
68.539.127/0001-17,Almeida,Resolvida,26,3,2025-02-05
10.623.975/0001-20,da Mata,Resolvida,4,2,2025-09-16
16.950.427/0001-90,Sousa,Resolvida,7,2,2025-04-07
23.981.074/0001-51,Freitas,Resolvida,11,4,2025-11-30
97.041.836/0001-76,Albuquerque Dias S.A.,Resolvida,16,5,2024-08-07
76.905.124/0001-88,Guerra - EI,Resolvida,12,1,2025-05-18
40.918.357/0001-78,Marques Brito e Filhos,Resolvida,21,2,2025-12-31
95.043.876/0001-21,Mendonça da Rocha S/A,Resolvida,23,2,2025-11-13
89.340.617/0001-60,Nunes,Resolvida,17,3,2024-06-23
08.637.241/0001-58,Santos,Resolvida,21,4,2025-07-24
53.649.712/0001-00,Cavalcanti Fogaça - ME,Resolvida,9,1,2024-11-28
73.659.012/0001-04,da Cunha Pastor - EI,Resolvida,4,2,2024-12-29
76.450.198/0001-77,Sá,Resolvida,22,1,2024-06-02
59.162.074/0001-77,Carvalho,Resolvida,29,5,2025-06-20
28.046.395/0001-82,da Paz,Não Resolvida,26,3,2025-04-09
54.217.960/0001-37,da Mata S.A.,Resolvida,22,1,2025-06-28
48.097.512/0001-44,Pacheco,Resolvida,6,2,2025-09-10
42.867.053/0001-54,Castro,Resolvida,21,5,2025-12-07
27.016.938/0001-56,Cavalcante,Não Resolvida,16,1,2025-12-09
95.417.036/0001-81,Nascimento Ltda.,Resolvida,2,3,2025-05-08
69.825.470/0001-90,Novaes Pires e Filhos,Resolvida,22,4,2025-03-07
78.913.265/0001-78,da Luz,Resolvida,8,4,2024-07-01
64.318.950/0001-41,Teixeira,Resolvida,3,3,2025-01-14
51.946.307/0001-10,Abreu Siqueira S.A.,Não Resolvida,7,5,2025-08-06
21.386.045/0001-16,Novais - EI,Resolvida,4,4,2025-06-27
46.031.592/0001-00,Freitas - EI,Resolvida,24,5,2025-03-12
34.860.712/0001-00,Leão,Resolvida,20,4,2024-10-03
70.521.394/0001-09,Santos,Resolvida,29,1,2024-04-03
26.980.513/0001-08,Cirino Freitas - ME,Resolvida,28,2,2025-07-31
50.234.871/0001-48,Barbosa,Resolvida,2,1,2025-09-29
25.074.836/0001-61,Souza - ME,Resolvida,3,4,2024-12-15
16.502.938/0001-40,Duarte - EI,Resolvida,20,3,2024-12-23
85.902.164/0001-67,Rezende,Resolvida,20,1,2024-09-25
02.756.934/0001-83,Cunha Vargas - EI,Resolvida,11,3,2024-10-20
15.240.976/0001-09,da Luz Nunes e Filhos,Resolvida,11,4,2024-11-14
41.360.975/0001-08,Novaes Rocha S.A.,Resolvida,24,4,2025-05-29
53.879.024/0001-29,da Cunha Montenegro e Filhos,Não Resolvida,4,5,2025-03-18
19.753.624/0001-08,Mendes e Filhos,Resolvida,23,1,2025-07-29
01.964.837/0001-13,Cassiano Novais - ME,Resolvida,16,2,2024-09-29
49.258.136/0001-95,Fonseca,Resolvida,20,4,2025-04-17
91.742.650/0001-68,Cassiano,Resolvida,16,3,2025-07-22
73.861.045/0001-24,Fernandes Albuquerque S/A,Resolvida,27,2,2024-03-31
56.398.201/0001-43,Moura,Resolvida,6,1,2024-03-06
38.924.067/0001-95,Sampaio,Resolvida,23,5,2025-01-24
30.519.276/0001-41,Peixoto S/A,Resolvida,16,3,2024-08-31
96.048.273/0001-85,Azevedo,Resolvida,6,3,2024-09-29
73.984.102/0001-62,Fogaça,Não Resolvida,12,3,2025-09-02
62.140.839/0001-82,Silva,Resolvida,16,1,2024-03-01
74.269.580/0001-53,Campos,Resolvida,23,5,2024-09-25
75.428.396/0001-71,da Mata,Resolvida,13,2,2024-07-21
63.058.179/0001-58,Castro,Resolvida,6,2,2025-06-09
71.843.609/0001-70,Borges e Filhos,Resolvida,23,3,2025-04-17
97.368.014/0001-02,Cavalcanti Carvalho - ME,Resolvida,3,1,2024-06-08
23.486.791/0001-07,Camargo,Resolvida,20,2,2024-12-17
51.794.032/0001-47,Martins,Resolvida,5,3,2024-01-30
19.830.472/0001-08,Siqueira,Resolvida,29,1,2024-02-15
10.452.893/0001-60,da Mata Ltda.,Não Resolvida,18,3,2025-03-31
05.674.389/0001-74,Guerra,Não Resolvida,25,3,2024-10-21
74.682.913/0001-71,Novais S.A.,Não Resolvida,12,4,2024-10-04
54.893.106/0001-90,Castro,Resolvida,24,2,2025-11-06
34.986.701/0001-63,Campos e Filhos,Não Resolvida,12,4,2025-03-07
76.285.134/0001-68,Andrade,Resolvida,16,5,2025-08-08
94.076.531/0001-01,Castro da Costa - ME,Resolvida,26,1,2025-03-27
45.896.130/0001-92,Correia,Resolvida,20,2,2025-07-22
89.547.610/0001-13,Casa Grande,Resolvida,15,2,2024-05-23
20.156.784/0001-59,Moraes Sales - ME,Resolvida,25,1,2025-08-16
52.749.036/0001-76,Carvalho - ME,Não Resolvida,11,3,2024-03-04
35.649.207/0001-76,Almeida,Resolvida,20,5,2025-08-21
89.215.307/0001-13,Silva,Resolvida,2,3,2024-02-28
14.786.532/0001-00,Siqueira,Resolvida,28,1,2026-01-14
96.073.415/0001-64,Fogaça,Resolvida,1,3,2025-06-12
54.613.287/0001-54,Pimenta,Resolvida,25,5,2025-11-07
25.671.389/0001-28,das Neves,Resolvida,21,5,2024-08-06
91.803.256/0001-92,da Rosa Cirino Ltda.,Resolvida,14,4,2025-07-01
61.780.942/0001-24,Almeida - ME,Não Resolvida,7,1,2025-06-09
54.789.136/0001-51,Ferreira,Não Resolvida,13,2,2024-03-17
91.430.267/0001-74,da Cruz,Resolvida,6,3,2025-11-02
34.817.956/0001-00,Araújo,Resolvida,27,3,2025-04-15
08.164.937/0001-04,Aparecida S/A,Resolvida,14,4,2025-01-03
98.352.407/0001-82,Rios,Resolvida,3,3,2025-05-09
92.451.036/0001-00,Fernandes e Filhos,Não Resolvida,14,3,2024-08-02
79.524.860/0001-84,Souza,Resolvida,25,2,2026-01-17
14.389.650/0001-85,Mendonça Ribeiro Ltda.,Não Resolvida,22,1,2025-12-13
19.568.427/0001-19,Freitas,Resolvida,19,3,2025-05-31
37.862.105/0001-60,da Rosa Ltda.,Não Resolvida,9,4,2024-10-13
75.061.324/0001-39,Aragão,Resolvida,7,1,2025-08-13
38.965.740/0001-35,Jesus,Resolvida,23,1,2024-04-09
01.945.628/0001-22,da Rosa,Resolvida,15,4,2025-11-13
73.519.806/0001-64,Araújo,Resolvida,6,5,2024-10-14
32.174.956/0001-04,Lima,Resolvida,8,1,2025-01-02
31.648.025/0001-20,Duarte,Resolvida,1,4,2024-11-14
31.598.746/0001-72,Pacheco da Luz S.A.,Resolvida,11,5,2025-05-05
18.645.932/0001-57,Cardoso e Filhos,Resolvida,27,1,2024-08-08
39.281.476/0001-83,Vieira Caldeira - ME,Resolvida,4,4,2024-11-14
47.389.206/0001-19,Mendes da Rosa Ltda.,Não Resolvida,9,5,2024-09-12
54.938.601/0001-79,Dias e Filhos,Resolvida,9,5,2024-12-24
79.506.421/0001-49,da Luz,Não Resolvida,16,4,2024-07-07
37.014.289/0001-08,Lima Abreu - EI,Resolvida,14,2,2024-08-12
29.053.781/0001-64,Fogaça,Resolvida,21,5,2024-02-03
65.214.087/0001-45,Rodrigues da Mata Ltda.,Resolvida,5,3,2026-01-09
81.093.675/0001-24,Vargas,Resolvida,21,5,2025-10-21
96.857.241/0001-20,Borges,Resolvida,9,4,2024-02-17
49.865.072/0001-90,da Costa e Filhos,Não Resolvida,2,1,2024-07-16
97.834.216/0001-94,Farias Melo e Filhos,Resolvida,23,4,2025-10-29
83.902.546/0001-65,Viana,Não Resolvida,14,1,2025-01-19
07.162.485/0001-69,Vieira,Resolvida,20,5,2025-04-10
85.679.402/0001-17,Camargo da Mota - EI,Resolvida,21,3,2024-09-07
36.172.405/0001-54,da Rosa Pacheco S/A,Resolvida,25,5,2024-06-15
06.182.395/0001-77,da Luz,Resolvida,23,4,2026-01-11
46.195.807/0001-28,Silva e Filhos,Resolvida,22,4,2025-03-02
46.932.801/0001-96,Cavalcante S/A,Resolvida,22,4,2024-09-25
70.643.819/0001-52,da Rosa Mendonça S.A.,Não Resolvida,2,3,2024-12-22
41.963.702/0001-58,Novais S.A.,Resolvida,1,1,2025-05-05
32.698.017/0001-50,Costela,Resolvida,29,4,2024-12-23
48.901.762/0001-95,Novais,Resolvida,27,3,2025-12-25
72.950.684/0001-01,Caldeira,Resolvida,1,1,2024-10-20
40.965.783/0001-62,Ferreira,Resolvida,17,3,2024-12-30
38.217.456/0001-80,Silva S.A.,Resolvida,3,5,2025-06-22
09.468.237/0001-76,Costa - ME,Resolvida,17,5,2025-02-28
62.495.130/0001-08,Jesus,Resolvida,17,1,2024-11-03
27.096.518/0001-27,Pinto Leão - EI,Resolvida,11,4,2024-02-04
89.170.634/0001-04,Leão Cavalcanti - ME,Resolvida,26,5,2024-12-20
69.037.128/0001-26,da Costa da Costa S.A.,Resolvida,10,3,2025-06-23
19.872.350/0001-76,Azevedo Peixoto - EI,Resolvida,9,1,2024-04-28
42.753.016/0001-15,Novais e Filhos,Não Resolvida,17,1,2024-02-23
40.172.968/0001-10,da Mota Sampaio - ME,Não Resolvida,21,3,2025-12-04
24.658.193/0001-30,Rocha,Não Resolvida,23,1,2025-05-01
43.628.501/0001-20,Alves,Resolvida,11,3,2025-03-21
30.859.276/0001-90,Fogaça,Resolvida,14,5,2024-11-18
09.546.278/0001-33,Montenegro,Resolvida,12,3,2024-04-20
84.705.362/0001-78,Moraes,Resolvida,8,5,2025-01-18
71.309.658/0001-28,Guerra,Resolvida,12,5,2024-08-08
64.138.509/0001-88,Siqueira,Resolvida,13,2,2024-06-06
57.186.493/0001-13,Lima,Não Resolvida,26,5,2024-04-03
27.019.835/0001-40,Leão e Filhos,Resolvida,27,5,2024-03-25
74.196.258/0001-41,Pastor,Não Resolvida,17,4,2024-11-30
61.045.829/0001-03,Gomes,Resolvida,2,4,2024-04-15
52.749.816/0001-16,Cirino S/A,Resolvida,4,2,2024-05-27
89.403.752/0001-07,da Mota S/A,Resolvida,15,4,2024-04-13
30.852.194/0001-14,Cavalcante Moreira - ME,Resolvida,17,1,2025-01-02
42.096.315/0001-24,da Luz Pires e Filhos,Resolvida,19,1,2025-05-19
48.927.306/0001-14,Castro - EI,Não Resolvida,29,1,2024-03-31
71.249.365/0001-00,Nunes Peixoto - EI,Resolvida,19,3,2025-05-21
92.480.351/0001-65,Caldeira,Resolvida,14,2,2025-01-17
38.257.694/0001-10,Peixoto da Rosa - EI,Resolvida,9,1,2026-01-12
39.570.642/0001-61,Correia,Resolvida,3,4,2025-05-29
26.051.394/0001-09,Brito,Resolvida,21,2,2025-09-25
30.812.457/0001-61,Cirino,Resolvida,3,2,2025-08-25
36.421.805/0001-56,Garcia S.A.,Resolvida,12,3,2024-09-22
